iter	Passed	Remaining
204	638	2476
205	640	2467
206	645	2473
207	647	2466
208	649	2457
209	651	2449
210	652	2441
211	656	2438
212	662	2446
213	664	2439
214	665	2430
215	667	2421
216	669	2414
217	670	2405
218	672	2396
219	678	2404
220	679	2395
221	681	2386
222	682	2378
223	683	2369
224	685	2360
225	686	2352
226	694	2363
227	695	2355
228	697	2347
229	698	2339
230	700	2331
231	701	2323
232	704	2320
233	707	2314
234	708	2306
235	712	2305
236	713	2297
237	715	2289
238	716	2281
239	722	2287
240	724	2281
241	725	2273
242	727	2266
243	729	2258
244	732	2256
245	738	2263
246	740	2257
247	741	2249
248	743	2241
249	744	2234
250	746	2226
251	747	2219
252	754	2226
253	755	2219
254	757	2211
255	758	2204
256	759	2196
257	761	2189
258	762	2182
259	764	2175
260	769	2179
261	771	2172
262	772	2164
263	774	2157
264	775	2150
265	776	2143
266	778	2136
267	784	2142
268	786	2136
269	787	2129
270	789	2123
271	790	2116
272	792	2110
273	794	2104
274	800	2110
275	802	2104
276	804	2098
277	805	2092
278	807	2085
279	810	2083
280	814	2084
281	816	2078
282	822	2084
283	826	2084
284	829	2080
285	830	2074
286	832	2067
287	833	2060
288	835	2055
289	836	2048
290	838	2042
291	843	2044
292	847	2043
293	848	2038
294	850	2032
295	851	2026
296	853	2019
297	858	2022
298	860	2016
299	861	2009
300	862	2002
301	863	1995
302	864	1989
303	865	1982
304	866	1975
305	868	1968
306	869	1962
307	873	1962
308	874	1956
309	876	1950
310	877	1943
311	878	1937
312	880	1931
313	881	1926
314	883	1920
315	889	1924
316	891	1920
317	892	1915
318	894	1909
319	896	1904
320	897	1898
321	903	1903
322	905	1898
323	907	1894
324	909	1889
325	911	1884
326	912	1879
327	917	1880
328	920	1878
329	922	1873
330	925	1870
331	927	1866
332	930	1864
333	934	1863
334	936	1858
335	937	1852
336	939	1847
337	940	1842
338	942	1837
339	952	1848
340	953	1842
341	954	1837
342	956	1831
343	957	1826
344	959	1821
345	965	1824
346	966	1819
347	968	1814
348	970	1809
349	971	1804
350	973	1799
351	974	1793
352	983	1802
353	984	1797
354	988	1795
355	990	1791
356	1000	1802
357	1002	1797
358	1004	1792
359	1006	1788
360	1011	1790
361	1013	1785
362	1014	1780
363	1019	1781
364	1021	1776
365	1025	1776
366	1028	1774
367	1030	1769
368	1031	1764
369	1033	1758
370	1034	1754
371	1036	1749
372	1042	1751
373	1049	1757
374	1051	1752
375	1052	1747
376	1057	1746
377	1060	1744
378	1061	1739
379	1063	1734
380	1064	1729
381	1066	1724
382	1067	1720
383	1073	1722
384	1075	1717
385	1076	1712
386	1078	1707
387	1097	1731
388	1117	1755
389	1119	1750
390	1120	1745
391	1122	1740
392	1124	1736
393	1129	1737
394	1131	1732
395	1132	1727
396	1133	1722
397	1143	1730
398	1146	1727
399	1148	1722
400	1150	1717
401	1151	1712
402	1153	1708
403	1154	1703
404	1196	1758
405	1198	1753
406	1278	1862
407	1279	1857
408	1281	1851
409	1283	1846
410	1285	1841
411	1286	1836
412	1288	1830
413	1294	1831
414	1295	1826
415	1297	1821
416	1299	1816
417	1300	1811
418	1302	1805
419	1303	1800
420	1375	1891
421	1378	1887
422	1383	1887
423	1385	1881
424	1392	1884
425	1395	1880
426	1397	1874
427	1398	1869
428	1399	1863
429	1401	1857
430	1407	1857
431	1408	1852
432	1410	1846
433	1414	1844
434	1415	1838
435	1417	1833
436	1473	1898
437	1475	1892
438	1477	1887
439	1479	1882
440	1480	1876
441	1482	1872
442	1489	1873
